District ID,District Name,Grade,Gender,Total students assessed,Total students achieving HFZ at least once,Percentage achieving HFZ at least once,Total not achieving HFZ on any assessment,Percentage not achieving HFZ on any assessment,Total achieving HFZ exactly once,Total % achieving HFZ exactly once,Total achieving HFZ twice,Total % achieving HFZ twice,Total achieving HFZ  three times,Total % achieving HFZ  three times,Total achieving HFZ four times,Total % achieving HFZ four times,Total achieving HFZ five times,Total % achieving HFZ five times,Total achieving HFZ more than 5 times,Total % achieving HFZ more than 5 times
101815.0,ALIEF MONTESSORI COMMUNITY SCHOOL,5.0,Girls,7.0,7.0,100.0,,,,,3.0,42.8571,3.0,42.8571,1.0,14.2857,,,,
101815.0,ALIEF MONTESSORI COMMUNITY SCHOOL,5.0,Boys,7.0,7.0,100.0,,,,,,,2.0,28.5714,5.0,71.4286,,,,
43901.0,ALLEN ISD,3.0,Girls,715.0,714.0,99.8601,1.0,0.13986,4.0,0.559441,10.0,1.3986,25.0,3.4965,76.0,10.6294,190.0,26.5734,409.0,57.2028
43901.0,ALLEN ISD,3.0,Boys,725.0,724.0,99.8621,1.0,0.137931,3.0,0.413793,6.0,0.827586,27.0,3.72414,98.0,13.5172,225.0,31.0345,365.0,50.3448
43901.0,ALLEN ISD,4.0,Girls,681.0,681.0,100.0,,,3.0,0.440529,12.0,1.76211,28.0,4.1116,78.0,11.4537,215.0,31.5712,345.0,50.6608
43901.0,ALLEN ISD,4.0,Boys,697.0,694.0,99.5696,3.0,0.430416,8.0,1.14778,35.0,5.02152,48.0,6.88666,114.0,16.3558,218.0,31.2769,271.0,38.8809
43901.0,ALLEN ISD,5.0,Girls,722.0,721.0,99.8615,1.0,0.138504,6.0,0.831025,10.0,1.38504,56.0,7.75623,101.0,13.9889,189.0,26.1773,359.0,49.723
43901.0,ALLEN ISD,5.0,Boys,729.0,720.0,98.7654,9.0,1.23457,14.0,1.92044,30.0,4.11523,88.0,12.0713,145.0,19.8903,191.0,26.2003,252.0,34.5679
43901.0,ALLEN ISD,6.0,Girls,707.0,703.0,99.4342,4.0,0.565771,7.0,0.990099,24.0,3.39463,35.0,4.9505,110.0,15.5587,176.0,24.8939,351.0,49.6464
43901.0,ALLEN ISD,6.0,Boys,702.0,696.0,99.1453,6.0,0.854701,25.0,3.56125,38.0,5.41311,70.0,9.97151,131.0,18.661,204.0,29.0598,228.0,32.4786
43901.0,ALLEN ISD,7.0,Girls,590.0,589.0,99.8305,1.0,0.169492,6.0,1.01695,19.0,3.22034,49.0,8.30508,127.0,21.5254,214.0,36.2712,174.0,29.4915
43901.0,ALLEN ISD,7.0,Boys,665.0,661.0,99.3985,4.0,0.601504,11.0,1.65414,48.0,7.21805,78.0,11.7293,158.0,23.7594,261.0,39.2481,105.0,15.7895
43901.0,ALLEN ISD,8.0,Girls,644.0,643.0,99.8447,1.0,0.15528,12.0,1.86335,26.0,4.03727,65.0,10.0932,143.0,22.205,226.0,35.0932,171.0,26.5528
43901.0,ALLEN ISD,8.0,Boys,678.0,676.0,99.705,2.0,0.294985,20.0,2.94985,40.0,5.89971,76.0,11.2094,160.0,23.5988,254.0,37.4631,126.0,18.5841
43901.0,ALLEN ISD,9.0,Girls,609.0,609.0,100.0,,,5.0,0.821018,18.0,2.95567,58.0,9.52381,101.0,16.5846,180.0,29.5567,247.0,40.5583
43901.0,ALLEN ISD,9.0,Boys,661.0,660.0,99.8487,1.0,0.151286,6.0,0.907716,26.0,3.93343,55.0,8.32073,146.0,22.0877,176.0,26.6263,251.0,37.9728
43901.0,ALLEN ISD,10.0,Girls,563.0,562.0,99.8224,1.0,0.17762,6.0,1.06572,11.0,1.95382,47.0,8.34813,141.0,25.0444,251.0,44.5826,106.0,18.8277
43901.0,ALLEN ISD,10.0,Boys,583.0,580.0,99.4854,3.0,0.51458,4.0,0.686106,26.0,4.45969,70.0,12.0069,171.0,29.331,222.0,38.0789,87.0,14.9228
43901.0,ALLEN ISD,11.0,Girls,556.0,555.0,99.8201,1.0,0.179856,4.0,0.719424,13.0,2.33813,55.0,9.89209,155.0,27.8777,275.0,49.4604,53.0,9.53237
43901.0,ALLEN ISD,11.0,Boys,555.0,554.0,99.8198,1.0,0.18018,9.0,1.62162,22.0,3.96396,62.0,11.1712,165.0,29.7297,256.0,46.1261,40.0,7.20721
43901.0,ALLEN ISD,12.0,Girls,462.0,462.0,100.0,,,4.0,0.865801,11.0,2.38095,31.0,6.70996,162.0,35.0649,227.0,49.1342,27.0,5.84416
43901.0,ALLEN ISD,12.0,Boys,481.0,480.0,99.7921,1.0,0.2079,9.0,1.8711,22.0,4.5738,70.0,14.553,129.0,26.8191,221.0,45.9459,29.0,6.02911
22901.0,ALPINE ISD,3.0,Girls,22.0,22.0,100.0,,,,,1.0,4.54545,3.0,13.6364,7.0,31.8182,10.0,45.4545,1.0,4.54545
22901.0,ALPINE ISD,3.0,Boys,53.0,53.0,100.0,,,1.0,1.88679,8.0,15.0943,14.0,26.4151,13.0,24.5283,15.0,28.3019,2.0,3.77358
22901.0,ALPINE ISD,4.0,Girls,33.0,33.0,100.0,,,,,,,,,4.0,12.1212,11.0,33.3333,18.0,54.5455
22901.0,ALPINE ISD,4.0,Boys,34.0,34.0,100.0,,,,,,,1.0,2.94118,8.0,23.5294,9.0,26.4706,16.0,47.0588
22901.0,ALPINE ISD,5.0,Girls,34.0,34.0,100.0,,,,,2.0,5.88235,1.0,2.94118,5.0,14.7059,9.0,26.4706,17.0,50.0
